name,nextId,threadId,homework,midterm,final,Grade
Student-1,1,Thread-1,92,93,91,A
Student-2,2,Thread-2,74,80,70,C
Student-3,3,Thread-3,90,90,83,B
Student-4,4,Thread-4,87,73,74,B
Student-5,5,Thread-5,92,89,71,B
Student-6,6,Thread-6,99,91,98,A
Student-7,7,Thread-7,74,71,77,C
Student-8,8,Thread-8,91,97,76,B
Student-9,9,Thread-9,74,96,72,B
Student-10,10,Thread-10,97,97,88,A
Student-11,11,Thread-11,77,93,89,B
Student-12,12,Thread-12,97,72,81,B
Student-13,13,Thread-13,84,96,79,B
Student-14,14,Thread-14,89,86,71,B
Student-15,15,Thread-15,72,95,91,B
Student-16,16,Thread-16,91,71,76,B
Student-17,17,Thread-17,88,77,85,B
Student-18,18,Thread-18,95,97,85,A
Student-19,19,Thread-19,95,80,78,B
Student-20,20,Thread-20,80,74,91,B
Student-21,21,Thread-21,86,88,85,B
Student-22,22,Thread-22,99,97,83,A
Student-23,23,Thread-23,86,84,90,B
Student-24,24,Thread-24,87,89,96,B
Student-25,25,Thread-25,99,92,78,A
Student-26,26,Thread-26,88,74,78,B
Student-27,27,Thread-27,95,97,79,A
Student-28,28,Thread-28,70,96,84,B
Student-29,29,Thread-29,70,83,76,C
Student-30,30,Thread-30,80,71,96,B
Student-31,31,Thread-31,85,70,98,B
Student-32,32,Thread-32,96,82,77,B
Student-33,33,Thread-33,93,87,94,A
Student-34,34,Thread-34,81,98,77,B
Student-35,35,Thread-35,95,75,75,B
Student-36,36,Thread-36,97,91,93,A
Student-37,37,Thread-37,75,99,73,B
Student-38,38,Thread-38,80,94,91,B
Student-39,39,Thread-39,83,78,81,B
Student-40,40,Thread-40,72,86,78,C
Student-41,41,Thread-41,99,91,89,A
Student-42,42,Thread-42,70,80,96,C
Student-43,43,Thread-43,89,92,81,B
Student-44,44,Thread-44,90,83,80,B
Student-45,45,Thread-45,83,78,84,B
Student-46,46,Thread-46,70,70,71,C
Student-47,47,Thread-47,99,99,72,A
Student-48,48,Thread-48,98,86,99,A
Student-49,49,Thread-49,76,95,95,B
Student-50,50,Thread-50,78,90,87,B
Student-51,51,Thread-51,98,70,93,B
Student-52,52,Thread-52,94,96,86,A
Student-53,53,Thread-53,81,89,70,B
Student-54,54,Thread-54,96,70,76,B
Student-55,55,Thread-55,94,72,93,B
Student-56,56,Thread-56,76,92,95,B
Student-57,57,Thread-57,93,80,98,A
Student-58,58,Thread-58,76,81,72,C
Student-59,59,Thread-59,75,75,92,C
Student-60,60,Thread-60,79,99,91,B
Student-61,61,Thread-61,78,74,77,C
Student-62,62,Thread-62,74,97,94,B
Student-63,63,Thread-63,74,99,86,B
Student-64,64,Thread-64,85,87,97,B
Student-65,65,Thread-65,95,88,94,A
Student-66,66,Thread-66,82,84,70,B
Student-67,67,Thread-67,86,98,97,A
Student-68,68,Thread-68,95,72,79,B
Student-69,69,Thread-69,74,84,97,B
Student-70,70,Thread-70,74,96,71,B
Student-71,71,Thread-71,99,85,84,A
Student-72,72,Thread-72,73,88,80,C
Student-73,73,Thread-73,90,97,96,A
Student-74,74,Thread-74,98,80,82,B
Student-75,75,Thread-75,96,81,88,B
Student-76,76,Thread-76,96,76,97,A
Student-77,77,Thread-77,88,85,83,B
Student-78,78,Thread-78,79,76,76,C
Student-79,79,Thread-79,97,83,85,A
Student-80,80,Thread-80,82,84,76,B
Student-81,81,Thread-81,94,73,85,B
Student-82,82,Thread-82,80,92,95,B
Student-83,83,Thread-83,71,98,84,B
Student-84,84,Thread-84,75,95,93,B
Student-85,85,Thread-85,75,75,81,C
Student-86,86,Thread-86,70,89,98,B
Student-87,87,Thread-87,92,74,98,B
Student-88,88,Thread-88,77,95,94,B
Student-89,89,Thread-89,70,86,90,C
Student-90,90,Thread-90,96,80,76,B
Student-91,91,Thread-91,86,82,77,B
Student-92,92,Thread-92,93,82,91,B
Student-93,93,Thread-93,78,75,82,C
Student-94,94,Thread-94,91,80,70,B
Student-95,95,Thread-95,93,96,71,B
Student-96,96,Thread-96,77,77,99,B
Student-97,97,Thread-97,81,85,74,B
