name,nextId,threadId,homework,midterm,final,Grade
Student-3,3,Thread-3,80,79,73,C
Student-1,1,Thread-1,82,91,74,B
Student-2,2,Thread-2,96,73,72,B
Student-4,4,Thread-4,99,97,70,A
Student-5,5,Thread-5,83,79,93,B
Student-6,6,Thread-6,71,76,85,C
Student-7,7,Thread-7,91,83,73,B
Student-8,8,Thread-8,94,72,92,B
Student-9,9,Thread-9,75,95,98,B
Student-11,11,Thread-11,72,72,78,C
Student-10,10,Thread-10,86,90,74,B
Student-12,12,Thread-12,98,88,93,A
Student-13,13,Thread-13,91,86,74,B
Student-15,15,Thread-15,78,82,96,B
Student-14,14,Thread-14,73,84,80,C
Student-16,16,Thread-16,86,75,91,B
Student-17,17,Thread-17,99,82,80,A
Student-18,18,Thread-18,82,99,93,B
Student-19,19,Thread-19,80,82,86,B
Student-20,20,Thread-20,87,99,79,B
Student-21,21,Thread-21,97,80,92,A
Student-22,22,Thread-22,81,94,82,B
Student-23,23,Thread-23,73,76,74,C
Student-24,24,Thread-24,97,91,98,A
Student-25,25,Thread-25,70,86,93,C
Student-26,26,Thread-26,84,70,90,B
Student-27,27,Thread-27,74,70,83,C
Student-28,28,Thread-28,94,85,88,A
Student-29,29,Thread-29,85,93,91,B
Student-30,30,Thread-30,84,80,80,B
Student-31,31,Thread-31,91,87,96,A
Student-32,32,Thread-32,93,94,86,A
Student-33,33,Thread-33,83,80,70,C
Student-34,34,Thread-34,79,83,84,B
Student-35,35,Thread-35,94,75,78,B
Student-36,36,Thread-36,92,72,70,B
Student-37,37,Thread-37,85,95,88,B
Student-38,38,Thread-38,80,86,99,B
Student-39,39,Thread-39,91,75,95,B
Student-40,40,Thread-40,72,99,92,B
